                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.53698,                 1.0727,                 1.0872,                0.93726,                0.86448,                0.94008,                 0.8772,                0.29337,                0.46496,                0.92939,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.5399,                 1.0715,                 1.0878,                0.95582,                0.90393,                 0.9584,                 0.9035,                0.27106,                0.35964,                0.91383,              0.0087526,              0.0087526,              0.0087526
                    128,                0.53762,                 1.0668,                 1.0876,                0.95288,                0.89714,                0.95511,                0.89894,                0.27438,                0.38068,                 0.9163,              0.0087427,              0.0087427,              0.0087427
                    129,                0.53407,                 1.0721,                 1.0868,                0.94536,                0.88734,                0.95037,                0.89244,                0.28024,                0.41067,                0.92031,              0.0087328,              0.0087328,              0.0087328
                    130,                0.53873,                 1.0671,                 1.0886,                0.91619,                0.83635,                0.92195,                 0.8509,                0.31803,                0.56106,                0.94682,              0.0087229,              0.0087229,              0.0087229
                    131,                0.53818,                 1.0726,                 1.0903,                 0.9186,                0.85419,                0.93031,                0.86167,                0.31058,                0.52158,                0.94139,               0.008713,               0.008713,               0.008713
                    132,                0.53357,                 1.0675,                 1.0882,                0.88231,                 0.8091,                0.89986,                0.82428,                0.33464,                0.65835,                0.95908,              0.0087031,              0.0087031,              0.0087031
                    133,                0.53893,                 1.0648,                 1.0898,                0.90357,                0.82848,                0.91506,                0.84185,                 0.3257,                0.59115,                0.95204,              0.0086932,              0.0086932,              0.0086932
                    134,                0.53827,                 1.0721,                 1.0885,                0.92236,                0.85905,                0.93325,                 0.8654,                0.30843,                0.50434,                0.93939,              0.0086833,              0.0086833,              0.0086833
                    135,                 0.5352,                 1.0649,                 1.0894,                0.91063,                0.83479,                 0.9209,                0.84992,                0.31927,                0.56304,                0.94739,              0.0086734,              0.0086734,              0.0086734
                    136,                0.53635,                  1.055,                 1.0888,                0.92293,                0.85461,                0.93262,                0.86514,                0.30694,                0.50618,                0.93805,              0.0086635,              0.0086635,              0.0086635
                    137,                0.53653,                 1.0622,                 1.0866,                0.88022,                0.81334,                0.90102,                 0.8266,                0.33238,                0.65278,                0.95692,              0.0086536,              0.0086536,              0.0086536
                    138,                0.53324,                 1.0596,                 1.0875,                  0.865,                0.78587,                0.88352,                0.80591,                0.34521,                0.73332,                 0.9666,              0.0086437,              0.0086437,              0.0086437
                    139,                0.53418,                 1.0612,                 1.0874,                0.80553,                0.69528,                0.80771,                 0.7209,                0.39297,                 1.0897,                 1.0033,              0.0086338,              0.0086338,              0.0086338
                    140,                0.53491,                 1.0609,                 1.0869,                0.82452,                0.72554,                0.83425,                0.74878,                0.37962,                0.95702,                0.99233,              0.0086239,              0.0086239,              0.0086239
                    141,                0.53335,                  1.051,                 1.0851,                0.84568,                0.75091,                0.85784,                0.77507,                 0.3648,                0.84705,                0.98077,               0.008614,               0.008614,               0.008614
